,imdbID,title,year,n_votes,imdb_rating,metscore,rotten_tomatoes,budget,box_office,cast_size,genre_span,running_time,other_wins,other_noms,opening_weekend,gross_box_office,precount_wins,precount_noms,win,nom,action,animation,news,reality-tv,sci-fi,family,adventure,crime,film-noir,short,biography,history,western,fantasy,musical,romance,talk-show,sport,comedy,horror,drama,mystery,documentary,war,game-show,thriller,actor,actress,cinematography,costume,director,editing,effects,music,picture,s_actor,s_actress,screenplay,song,sound
20,tt0053675,a breath of scandal,1960,648.0,5.6,5.6,5.6,,,4.0,3.0,97.0,0.0,0.0,,,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
21,tt0053689,cage of evil,1960,97.0,5.4,5.4,5.4,,,4.0,2.0,70.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
22,tt0053690,can-can,1960,1777.0,6.4,6.4,6.4,6.0,,4.0,2.0,131.0,5.0,5.0,,,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,O,O,O,N,O,O,O,N,O,O,O,O,O,O
23,tt0053692,the cape canaveral monsters,1960,300.0,3.5,3.5,3.5,,,4.0,1.0,69.0,0.0,0.0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
24,tt0052680,cash mccall,1960,1024.0,6.4,6.4,6.4,,,4.0,2.0,102.0,0.0,0.0,,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
25,tt0053705,chartroose caboose,1960,33.0,6.8,6.8,6.8,,,4.0,2.0,75.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
26,tt0053715,cimarron,1960,2432.0,6.4,6.4,6.4,5.42,,4.0,3.0,147.0,0.0,1.0,,,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,N
27,tt0053716,cinderfella,1960,2796.0,6.0,6.0,6.0,3.0,,4.0,5.0,91.0,0.0,1.0,,,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
28,tt0053727,college confidential,1960,150.0,4.7,4.7,4.7,,,4.0,1.0,91.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
29,tt0053729,comanche station,1960,2872.0,7.0,7.0,10.0,,,4.0,2.0,73.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
