,imdbID,title,year,n_votes,imdb_rating,metscore,rotten_tomatoes,budget,box_office,cast_size,genre_span,running_time,other_wins,other_noms,opening_weekend,gross_box_office
55,tt0053912,high time,1960,530.0,6.2,6.2,6.2,,,4.0,2.0,103.0,0.0,1.0,,
56,tt0053917,home from the hill,1960,2694.0,7.4,7.4,9.0,1.82,,4.0,2.0,150.0,3.0,4.0,,
57,tt0054993,the horse with the flying tail,1960,120.0,6.7,6.7,6.7,,,4.0,2.0,48.0,0.0,0.0,,
58,tt0053925,house of usher,1960,11106.0,7.0,7.5,9.0,0.2,,4.0,2.0,79.0,2.0,0.0,,
59,tt0053930,hyde and go tweet,1960,388.0,7.4,7.4,7.4,,,1.0,4.0,6.0,0.0,0.0,0.01,0.01
60,tt0053931,the hypnotic eye,1960,570.0,5.8,5.8,5.8,0.36,,4.0,1.0,79.0,0.0,0.0,,
61,tt0053440,i aim at the stars,1960,161.0,6.4,6.4,6.4,,,4.0,2.0,107.0,0.0,0.0,,
62,tt0053936,ice palace,1960,260.0,6.3,6.3,6.3,,,4.0,3.0,143.0,0.0,0.0,,
63,tt0055001,i'll give my life,1960,33.0,6.5,6.5,6.5,,,4.0,1.0,78.0,0.0,0.0,,
64,tt0053946,inherit the wind,1960,25298.0,8.1,7.5,9.2,,,4.0,3.0,128.0,3.0,7.0,,
65,tt0053957,it started in naples,1960,2129.0,6.4,6.4,0.0,,,4.0,2.0,100.0,0.0,3.0,,
66,tt0053993,key witness,1960,272.0,6.3,6.3,6.3,0.86,,4.0,4.0,82.0,0.0,0.0,,
67,tt0054016,the last voyage,1960,1731.0,6.7,6.7,6.0,,,4.0,4.0,91.0,0.0,1.0,,
68,tt0054017,last woman on earth,1960,1540.0,4.8,4.8,4.8,,,3.0,5.0,71.0,0.0,0.0,,
69,tt0054020,the leech woman,1960,1488.0,4.4,4.4,4.4,,,4.0,3.0,77.0,0.0,0.0,,
70,tt0054022,let's make love,1960,6222.0,6.5,6.5,6.7,3.58,,4.0,3.0,119.0,0.0,5.0,,
71,tt0054021,let no man write my epitaph,1960,379.0,7.2,7.2,7.2,,,4.0,1.0,105.0,0.0,1.0,,
72,tt0054033,the little shop of horrors,1960,15133.0,6.3,6.3,9.2,0.03,,4.0,2.0,72.0,0.0,0.0,,
73,tt0054038,the lost world,1960,3240.0,5.5,5.5,5.5,1.51,,4.0,3.0,97.0,0.0,1.0,,
74,tt0054045,macumba love,1960,49.0,4.9,4.9,4.9,,,4.0,5.0,86.0,0.0,0.0,,
75,tt0054047,the magnificent seven,1960,82944.0,7.7,7.4,8.8,2.0,,4.0,3.0,128.0,1.0,5.0,,
77,tt0054058,man on a string,1960,267.0,6.1,6.1,6.1,,,4.0,4.0,92.0,0.0,0.0,,
78,tt0054082,mice follies,1960,64.0,7.0,7.0,7.0,,,1.0,3.0,6.0,0.0,0.0,,
79,tt0054084,midnight lace,1960,4228.0,6.8,6.8,10.0,,,4.0,3.0,103.0,0.0,4.0,,
81,tt0054095,the mountain road,1960,669.0,6.3,6.3,6.3,,,4.0,2.0,102.0,0.0,0.0,,
82,tt0054102,"murder, inc.",1960,1089.0,6.6,6.6,6.6,,,4.0,4.0,103.0,0.0,1.0,,
83,tt0054103,the music box kid,1960,72.0,4.9,4.9,4.9,,,4.0,2.0,75.0,0.0,0.0,,
84,tt0054198,never on sunday,1960,4782.0,7.3,7.3,7.8,0.15,,4.0,3.0,97.0,2.0,8.0,,
85,tt0054126,noose for a gunman,1960,141.0,5.5,5.5,5.5,,,4.0,1.0,69.0,0.0,0.0,,
86,tt0054127,north to alaska,1960,6539.0,7.0,7.0,5.0,3.5,,4.0,3.0,122.0,1.0,1.0,,
87,tt0054135,ocean's 11,1960,18543.0,6.6,5.7,5.0,2.8,,4.0,4.0,127.0,0.0,2.0,,
88,tt0054138,oklahoma territory,1960,127.0,5.9,5.9,5.9,,,4.0,1.0,67.0,0.0,0.0,,
89,tt0054141,"once more, with feeling!",1960,374.0,6.3,6.3,6.3,,,4.0,3.0,92.0,0.0,0.0,,
90,tt0054142,one foot in hell,1960,387.0,6.2,6.2,6.2,1.09,,4.0,1.0,90.0,0.0,0.0,,
91,tt0054164,pay or die,1960,375.0,6.9,6.9,6.9,,,4.0,2.0,111.0,0.0,2.0,,
92,tt0054172,pepe,1960,764.0,5.5,5.5,5.5,,,4.0,2.0,180.0,2.0,5.0,,
93,tt0054187,platinum high school,1960,62.0,5.7,5.7,5.7,,,4.0,1.0,95.0,0.0,0.0,,
94,tt0054188,please don't eat the daisies,1960,3746.0,6.5,6.5,5.7,1.77,,4.0,3.0,112.0,0.0,5.0,,
95,tt0054190,the plunderers,1960,200.0,6.6,6.6,6.6,,,4.0,1.0,94.0,0.0,0.0,,
96,tt0054195,pollyanna,1960,8373.0,7.4,7.4,8.6,,,4.0,3.0,134.0,1.0,1.0,,
97,tt0054197,portrait in black,1960,868.0,6.7,6.7,6.7,1.4,,4.0,3.0,112.0,0.0,0.0,,
98,tt0054204,pretty boy floyd,1960,97.0,5.6,5.6,5.6,,,4.0,3.0,96.0,0.0,0.0,,
99,tt0055328,the private lives of adam and eve,1960,77.0,4.7,4.7,4.7,,,4.0,1.0,86.0,0.0,0.0,,
100,tt0054209,private property,1960,548.0,6.8,8.0,10.0,0.06,,4.0,2.0,79.0,0.0,0.0,,
102,tt0054215,psycho,1960,559212.0,8.5,9.7,9.6,0.81,,4.0,3.0,109.0,5.0,10.0,,32.0
103,tt0054219,the pusher,1960,48.0,6.6,6.6,6.6,,,4.0,2.0,81.0,0.0,0.0,0.0,0.0
104,tt0054230,the rat race,1960,967.0,6.7,6.7,6.7,,,4.0,3.0,105.0,0.0,0.0,,
105,tt0054232,raymie,1960,21.0,7.1,7.1,7.1,,,4.0,1.0,72.0,0.0,0.0,,
106,tt0054243,the rise and fall of legs diamond,1960,819.0,6.8,6.8,7.1,,,4.0,2.0,101.0,0.0,0.0,,
107,tt0053244,the savage innocents,1960,1572.0,6.9,6.9,7.5,,,4.0,3.0,110.0,1.0,1.0,,
108,tt0054271,scent of mystery,1960,189.0,5.7,5.7,5.7,,,4.0,1.0,125.0,0.0,0.0,,
109,tt0054283,the secret of the purple reef,1960,94.0,4.9,4.9,4.9,0.09,,4.0,2.0,81.0,0.0,0.0,,
110,tt0054290,september storm,1960,121.0,5.0,5.0,5.0,,,4.0,1.0,99.0,0.0,0.0,,
111,tt0054292,sergeant rutledge,1960,3622.0,7.4,7.4,8.8,,,4.0,2.0,111.0,0.0,0.0,,
112,tt0054295,seven thieves,1960,1073.0,6.6,6.6,6.6,1.65,,4.0,2.0,102.0,0.0,0.0,,
113,tt0054296,seven ways from sundown,1960,704.0,7.0,7.0,7.0,0.5,,4.0,4.0,87.0,0.0,0.0,,
114,tt0054298,sex kittens go to college,1960,346.0,3.4,3.4,3.4,,,4.0,1.0,94.0,0.0,0.0,,
115,tt0054324,song without end,1960,556.0,5.9,5.9,8.3,,,4.0,3.0,141.0,1.0,3.0,,
116,tt0054331,spartacus,1960,116230.0,7.9,8.7,9.5,12.0,,4.0,5.0,197.0,7.0,11.0,0.09,1.84
117,tt0055472,squad car,1960,15.0,3.9,3.9,3.9,,,4.0,2.0,62.0,0.0,0.0,,
119,tt0054343,the story of ruth,1960,919.0,6.7,6.7,6.7,2.93,,4.0,3.0,132.0,0.0,0.0,,
120,tt0054345,strangers when we meet,1960,1728.0,7.1,7.1,6.0,,,4.0,2.0,117.0,0.0,0.0,,
121,tt0054348,studs lonigan,1960,216.0,5.3,5.3,6.0,,,4.0,1.0,95.0,0.0,0.0,,
122,tt0054351,the subterraneans,1960,226.0,5.2,5.2,5.2,0.93,,4.0,1.0,89.0,0.0,0.0,,
124,tt0054353,the sundowners,1960,3533.0,7.1,8.2,8.2,,,4.0,2.0,133.0,4.0,8.0,,
125,tt0054354,sunrise at campobello,1960,968.0,7.0,7.0,8.8,,,4.0,2.0,144.0,3.0,3.0,,
126,tt0054355,surprise package,1960,224.0,5.8,5.8,5.8,,,4.0,1.0,100.0,0.0,0.0,,
127,tt0054357,swiss family robinson,1960,12870.0,7.2,6.1,8.2,5.0,,4.0,2.0,126.0,0.0,0.0,,40.36
128,tt0054367,tall story,1960,635.0,6.0,6.0,6.0,,,4.0,2.0,91.0,0.0,0.0,,
129,tt0054368,tarzan the magnificent,1960,571.0,6.7,6.7,6.7,,,4.0,2.0,82.0,0.0,0.0,,
131,tt0054376,tess of the storm country,1960,16.0,5.5,5.5,5.5,,,4.0,1.0,84.0,0.0,0.0,,
132,tt0054381,this rebel breed,1960,71.0,6.2,6.2,6.2,,,4.0,1.0,90.0,0.0,0.0,,
133,tt0054383,the threat,1960,13.0,4.3,4.3,4.3,,,4.0,2.0,66.0,0.0,0.0,,
136,tt0054385,thunder in carolina,1960,284.0,2.6,2.6,2.6,,,4.0,3.0,92.0,0.0,0.0,,
137,tt0054387,the time machine,1960,33963.0,7.6,6.7,7.5,0.75,,4.0,4.0,103.0,0.0,1.0,,0.01
138,tt0053357,three came to kill,1960,49.0,5.6,5.6,5.6,,,4.0,2.0,71.0,0.0,0.0,,
139,tt0054390,toby tyler,1960,781.0,7.0,7.0,7.0,,,4.0,2.0,96.0,0.0,0.0,,
141,tt0054393,tormented,1960,1888.0,4.2,4.2,4.2,,,4.0,2.0,75.0,0.0,0.0,,
142,tt0053557,twelve hours to kill,1960,66.0,5.7,5.7,5.7,,,4.0,2.0,83.0,0.0,0.0,,
143,tt0054428,the unforgiven,1960,6747.0,6.7,6.7,6.7,5.0,,4.0,3.0,125.0,0.0,0.0,,
144,tt0054435,valley of the redwoods,1960,6.0,6.2,6.2,6.2,0.08,,4.0,4.0,63.0,0.0,0.0,,
146,tt0054446,visit to a small planet,1960,893.0,6.1,6.1,6.1,,,4.0,2.0,85.0,0.0,0.0,,
147,tt0054453,the wackiest ship in the army,1960,1739.0,6.3,6.3,6.3,,,4.0,3.0,99.0,0.0,0.0,,
148,tt0054455,wake me when it's over,1960,263.0,6.5,6.5,6.5,,,4.0,1.0,126.0,0.0,0.0,,
149,tt0054457,walk like a dragon,1960,96.0,6.7,6.7,6.7,,,4.0,1.0,95.0,0.0,0.0,,
150,tt0054458,walk tall,1960,25.0,6.0,6.0,6.0,,,4.0,1.0,61.0,0.0,0.0,,
151,tt0054459,the walking target,1960,35.0,6.3,6.3,6.3,,,4.0,2.0,75.0,0.0,0.0,,
154,tt0054469,where the boys are,1960,2194.0,6.7,6.7,8.8,,,4.0,3.0,99.0,0.0,2.0,,
155,tt0054473,who was that lady?,1960,1096.0,6.7,6.7,6.7,,,4.0,2.0,115.0,0.0,2.0,,
156,tt0054474,why must i die?,1960,62.0,5.5,5.5,5.5,,,4.0,2.0,86.0,0.0,0.0,,
157,tt0054475,the wild ride,1960,545.0,4.6,4.6,4.6,0.03,,4.0,2.0,61.0,0.0,0.0,,
158,tt0054476,wild river,1960,4355.0,7.6,7.6,10.0,1.59,,4.0,3.0,110.0,2.0,1.0,,
159,tt0054483,the world of suzie wong,1960,2007.0,7.0,7.0,3.8,,,4.0,2.0,126.0,0.0,4.0,,
160,tt0054489,young jesse james,1960,68.0,5.2,5.2,5.2,,,4.0,3.0,73.0,0.0,0.0,,
161,tt0053967,the young one,1960,2271.0,7.4,7.4,10.0,,,4.0,1.0,96.0,1.0,1.0,,0.0
162,tt0166983,and the same to you,1960,131.0,5.3,5.3,5.3,,,4.0,1.0,70.0,0.0,0.0,,
163,tt0053602,the angry silence,1960,1062.0,7.2,7.2,8.0,,,4.0,1.0,95.0,5.0,5.0,,
