,imdbID,title,year,n_votes,imdb_rating,box_office,cast,genre,running_time,inflation_factor,box_office_adjusted,metscore,rotten_tomatoes,other_wins,other_noms
251,tt0242653,the matrix revolutions,2003,424693,6.7,427.3,5.0,2.0,129.0,0.5434782608695652,232.2282608695652,4.7,3.5,4.0,33.0
252,tt0060315,django,1966,22653,7.3,425.4,10.0,2.0,165.0,3.08641975308642,1312.9629629629628,7.5,9.2,0.0,0.0
253,tt1853728,django unchained,2012,1253112,8.4,425.4,10.0,2.0,165.0,0.4355514516929884,185.2835875501973,8.1,8.7,57.0,153.0
254,tt0061005,she beast,1966,739,4.5,,3.0,3.0,74.0,3.08641975308642,,,8.3,0.0,0.0
255,tt0072752,the beast,1975,3919,5.8,,3.0,3.0,98.0,1.858736059479554,,,6.5,0.0,0.0
256,tt0499448,the chronicles of narnia: prince caspian,2008,183066,6.5,419.7,10.0,3.0,150.0,0.4644617120987632,194.9345805678509,6.2,6.6,2.0,20.0
257,tt0980970,the chronicles of narnia: the voyage of the dawn treader,2010,132657,6.3,415.0,7.0,2.0,115.0,0.4585977913930367,190.31808342811019,5.3,5.0,1.0,17.0
258,tt1000774,sex and the city,2008,111832,5.6,415.2,7.0,3.0,145.0,0.4644617120987632,192.8445028634065,5.3,4.9,2.0,12.0
259,tt2802144,kingsman: the secret service,2014,558345,7.7,414.4,5.0,4.0,129.0,0.422411462557448,175.04731008380642,6.0,7.4,8.0,27.0
260,tt1504320,the king's speech,2010,605898,8.0,414.2,8.0,3.0,119.0,0.4585977913930367,189.9512051949958,8.8,9.5,106.0,204.0
261,tt1663662,pacific rim,2013,450314,6.9,411.0,8.0,4.0,132.0,0.4292637697085728,176.42740935022343,6.5,7.1,7.0,47.0
262,tt4649466,kingsman: the golden circle,2017,242680,6.8,410.9,9.0,4.0,141.0,0.40796344647519583,167.63218015665797,4.4,5.2,2.0,7.0
263,tt0103855,the bodyguard,1992,111049,6.3,411.0,5.0,3.0,129.0,0.7127583749109052,292.943692088382,3.9,3.4,11.0,20.0
264,tt0290334,x2: x-men united,2003,490966,7.4,407.7,11.0,4.0,133.0,0.5434782608695652,221.5760869565217,6.8,8.5,6.0,41.0
265,tt0286106,signs,2002,322562,6.7,408.2,4.0,4.0,106.0,0.555864369093941,226.90383546414668,5.9,7.4,3.0,34.0
266,tt1446714,prometheus,2012,546304,7.0,403.4,6.0,3.0,124.0,0.4355514516929884,175.70145561295155,6.4,7.3,6.0,46.0
267,tt1104001,tron: legacy,2010,301242,6.8,400.0,7.0,3.0,125.0,0.4585977913930367,183.4391165572147,4.9,5.1,10.0,49.0
268,tt0317919,mission: impossible iii,2006,313219,6.9,397.9,9.0,4.0,126.0,0.4960317460317461,197.37103174603172,6.6,7.0,7.0,14.0
269,tt1735898,snow white and the huntsman,2012,262798,6.1,396.6,9.0,5.0,127.0,0.4355514516929884,172.7397057414392,5.7,4.9,13.0,31.0
270,tt0077631,grease,1978,218294,7.2,396.0,12.0,3.0,110.0,1.5337423312883436,607.361963190184,7.0,7.5,3.0,7.0
271,tt6911608,mamma mia! here we go again,2018,66581,6.7,395.0,11.0,3.0,113.0,0.3982366082984544,157.30346027788946,6.0,8.0,0.0,12.0
272,tt3778644,solo: a star wars story,2018,244965,6.9,393.2,8.0,4.0,135.0,0.3982366082984544,156.5866343829523,6.2,7.0,4.0,22.0
273,tt0993846,the wolf of wall street,2013,1069666,8.2,392.0,9.0,4.0,180.0,0.4292637697085728,168.27139772576055,7.5,7.9,39.0,168.0
274,tt0348150,superman returns,2006,263529,6.0,391.1,9.0,3.0,154.0,0.4960317460317461,193.9980158730159,7.2,7.5,12.0,40.0
275,tt1628841,independence day: resurgence,2016,158599,5.2,389.7,11.0,4.0,120.0,0.4166545142433346,162.3702642006275,3.2,2.9,3.0,16.0
276,tt0102798,robin hood: prince of thieves,1991,169610,6.9,390.5,5.0,3.0,143.0,0.7342143906020558,286.7107195301028,5.1,5.1,16.0,22.0
