,title,year,imdbID,actor,actress,cinematography,costume,director,editing,effects,music,picture,s_actor,s_actress,screenplay,song,sound
3366,"new york, new york",1977,tt0076451,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3367,"oh, god!",1977,tt0076489,O,O,O,O,O,O,O,O,O,O,O,N,O,O
3368,one on one,1977,tt0076500,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3369,opening night,1977,tt0079672,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3370,orca,1977,tt0076504,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3371,the other side of midnight,1977,tt0076507,O,O,O,N,O,O,O,O,O,O,O,O,O,O
3372,outlaw blues,1977,tt0076512,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3373,the people that time forgot,1977,tt0076535,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3374,pete's dragon,1977,tt0076538,O,O,O,O,O,O,O,N,O,O,O,O,N,O
3375,a piece of the action,1977,tt0076543,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3376,pine canyon is burning,1977,tt0076546,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3377,planet of dinosaurs,1977,tt0078089,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3378,pumping iron,1977,tt0076578,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3379,rabid,1977,tt0076590,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3380,"race for your life, charlie brown",1977,tt0076591,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3381,raggedy ann & andy a musical adventure,1977,tt0076593,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3382,the rescuers,1977,tt0076618,O,O,O,O,O,O,O,O,O,O,O,O,N,O
3383,rollercoaster,1977,tt0076636,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3384,rolling thunder,1977,tt0076637,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3385,roots,1977,tt0075572,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3386,roseland,1977,tt0076639,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3387,ruby,1977,tt0076644,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3388,run for the roses,1977,tt0073643,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3389,satan's cheerleaders,1977,tt0076665,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3390,saturday night fever,1977,tt0076666,N,O,O,O,O,O,O,O,O,O,O,O,O,O
3391,scott joplin,1977,tt0076674,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3392,semi-tough,1977,tt0078227,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3393,the sentinel,1977,tt0076683,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3394,"september 30, 1955",1977,tt0078231,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3395,the serpent's egg,1977,tt0076686,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3396,short eyes,1977,tt0076706,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3397,sinbad and the eye of the tiger,1977,tt0076716,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3398,slap shot,1977,tt0076723,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3399,smokey and the bandit,1977,tt0076729,O,O,O,O,O,N,O,O,O,O,O,O,O,O
3400,sorcerer,1977,tt0076740,O,O,O,O,O,O,O,O,O,O,O,O,O,N
3401,speedtrap,1977,tt0076746,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3402,the spy who loved me,1977,tt0076752,O,O,O,O,O,O,O,N,O,O,O,O,N,O
3403,star wars episode iv a new hope,1977,tt0076759,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3404,telefon,1977,tt0076804,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3405,tentacles,1977,tt0076809,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3406,thieves,1977,tt0076815,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3407,thunder and lightning,1977,tt0076820,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3408,the turning point,1977,tt0076843,O,N,N,O,N,N,O,O,N,N,N,O,O,N
3409,twilight's last gleaming,1977,tt0076845,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3410,valentino,1977,tt0076868,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3411,the van,1977,tt0075378,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3412,viva knievel!,1977,tt0076890,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3413,which way is up?,1977,tt0076913,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3414,the white buffalo,1977,tt0076915,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3415,wilma,1977,tt0076923,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3416,wizards,1977,tt0076929,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3417,word is out,1977,tt0199143,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3418,the world's greatest lover,1977,tt0076933,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3419,you light up my life,1977,tt0076941,O,O,O,O,O,O,O,O,O,O,O,O,W,O
3420,adventures of a private eye,1977,tt0075638,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3421,age of innocence,1977,tt0075640,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3422,are you being served?,1977,tt0075696,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3423,black joy,1977,tt0075760,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3424,the black panther,1977,tt0075764,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3425,come play with me,1977,tt0075868,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3426,the disappearance,1977,tt0075944,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3427,the duellists,1977,tt0075968,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3428,jabberwocky,1977,tt0076221,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3429,joseph andrews,1977,tt0076234,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3430,no. 1 of the secret service,1977,tt0076475,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3431,prey,1977,tt0086872,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3432,sky pirates,1977,tt0316620,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3433,spectre,1977,tt0076745,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3434,the squeeze,1977,tt0076755,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3435,"stand up, virgin soldiers",1977,tt0076758,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3436,sweeney!,1977,tt0076788,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3437,that's carry on!,1977,tt0076814,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3438,three dangerous ladies,1977,tt0441697,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3439,tintorera,1977,tt0076825,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3440,the uncanny,1977,tt0076853,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3441,welcome to blood city,1977,tt0076909,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3442,almost summer,1978,tt0077152,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3443,american boy a profile of steven prince,1978,tt0077157,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3444,american hot wax,1978,tt0077158,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3445,attack of the killer tomatoes,1978,tt0080391,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3446,avalanche,1978,tt0077189,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3447,the bad news bears go to japan,1978,tt0077199,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3448,battlestar galactica,1978,tt0076984,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3449,the betsy,1978,tt0077228,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3450,the big fix,1978,tt0077233,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3451,big wednesday,1978,tt0077235,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3452,bloodbrothers,1978,tt0078878,O,O,O,O,O,O,O,O,O,O,O,N,O,O
3453,blue collar,1978,tt0077248,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3454, born again ,1978,tt0077261,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3455,the boys from brazil ,1978,tt0077269,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3456,the boys in company c,1978,tt0077270,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3457,the brink's job,1978,tt0077275,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3458,the buddy holly story,1978,tt0077280,N,O,O,O,O,O,O,W,O,O,O,O,O,N
3459,california suite,1978,tt0077289,O,O,O,O,O,O,O,O,O,O,W,N,O,O
3460,caravans,1978,tt0077296,O,O,O,N,O,O,O,O,O,O,O,O,O,O
3461,casey's shadow,1978,tt0077303,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3462,the cat from outer space,1978,tt0077305,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3463,the cheap detective,1978,tt0077321,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3464,the class of miss macmichael,1978,tt0077341,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3465,coma,1978,tt0077355,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3466,comes a horseman,1978,tt0077360,O,O,O,O,O,O,O,O,O,N,O,O,O,O
3467,coming home,1978,tt0077362,W,W,O,O,N,N,O,O,N,N,N,W,O,O
3468,convoy,1978,tt0077369,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3469,corvette summer,1978,tt0077372,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3470,covert action,1978,tt0077376,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3471,the dain curse,1978,tt0076999,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3472,dawn of the dead,1978,tt0077402,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3473,days of heaven,1978,tt0077405,O,O,W,N,O,O,O,N,O,O,O,O,O,N
3474,death dimension,1978,tt0077408,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3475,deathsport,1978,tt0077414,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3476,the deer hunter,1978,tt0077416,N,O,N,O,W,W,O,O,W,W,N,N,O,W
3477,a different story,1978,tt0077435,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3478,the driver,1978,tt0077474,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3479,the end,1978,tt0077504,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3480,an enemy of the people,1978,tt0075993,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3481,every which way but loose,1978,tt0077523,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3482,eyes of laura mars,1978,tt0077530,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3483,f.i.s.t.,1978,tt0077531,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3484,fm,1978,tt0077532,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3485,fedora,1978,tt0077539,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3486,fingers ,1978,tt0077549,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3487,foul play,1978,tt0077578,O,O,O,O,O,O,O,O,O,O,O,O,N,O
3488,the fury ,1978,tt0077588,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3489,gates of heaven,1978,tt0077598,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3490,gay usa,1978,tt0077599,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3491,girlfriends,1978,tt0077613,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3492,go tell the spartans,1978,tt0077617,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3493,goin' south,1978,tt0077621,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3494,good guys wear black,1978,tt0079227,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3495,gray lady down,1978,tt0077629,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3496,grease,1978,tt0077631,O,O,O,O,O,O,O,O,O,O,O,O,N,O
3497,the greek tycoon,1978,tt0077636,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3498,halloween,1978,tt0077651,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3499,harper valley pta,1978,tt0077660,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3500,heaven can wait,1978,tt0077663,N,O,N,O,N,O,O,N,N,N,N,N,O,O
3501,high-ballin',1978,tt0077679,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3502,holocaust,1978,tt0077025,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3503,hooper,1978,tt0077696,O,O,O,O,O,O,O,O,O,O,O,O,O,N
3504,hot lead and cold feet,1978,tt0077698,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3505,house calls,1978,tt0077699,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3506,i spit on your grave,1978,tt0077713,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3507,i wanna hold your hand,1978,tt0077714,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3508,ice castles,1978,tt0077716,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3509,if ever i see you again,1978,tt0077720,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3510,interiors,1978,tt0077742,O,N,O,O,N,O,O,O,O,O,N,N,O,O
3511,international velvet,1978,tt0077743,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3512,invasion of the body snatchers,1978,tt0077745,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3513,jaws 2,1978,tt0077766,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3514,jaws,1978,tt0273693,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3515,jennifer,1978,tt0077769,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3516,killer of sheep,1978,tt0076263,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3517,king of the gypsies,1978,tt0077807,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3518,laserblast,1978,tt0077834,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3519,the last waltz,1978,tt0077838,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3520,the legacy,1978,tt0079450,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3521,the lord of the rings,1978,tt0077869,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3522,magic,1978,tt0077889,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3523,the magic of lassie,1978,tt0077890,O,O,O,O,O,O,O,O,O,O,O,O,N,O
3524,the manitou,1978,tt0077904,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3525,maraschino cherry,1978,tt0077909,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3526,mean dog blues,1978,tt0077919,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3527,the medusa touch,1978,tt0077921,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3528,midnight express,1978,tt0077928,O,O,O,O,N,N,O,W,N,N,O,W,O,O
3529,moment by moment,1978,tt0077942,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3530,movie movie,1978,tt0077952,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3531,national lampoon's animal house,1978,tt0077975,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3532,a night full of rain,1978,tt0077548,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3533,the norseman,1978,tt0078007,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3534,oliver's story,1978,tt0078024,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3535,olly olly oxen free,1978,tt0078025,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3536,the one and only,1978,tt0078034,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3537,paradise alley,1978,tt0078056,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3538,piranha,1978,tt0078087,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3539,pretty baby,1978,tt0078111,O,O,O,O,O,O,O,N,O,O,O,O,O,O
3540,rabbit test,1978,tt0078133,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3541,remember my name,1978,tt0078150,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3542,renaldo and clara,1978,tt0078151,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3543,return from witch mountain,1978,tt0078158,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3544,revenge of the pink panther,1978,tt0078163,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3545,pink panther,1978,tt0078163,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3546,"same time, next year",1978,tt0078199,O,N,N,O,O,O,O,O,O,O,O,N,N,O
3547,the scenic route,1978,tt0140536,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3548,silent partner,1978,tt0078269,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3549,slow dancing in the big city,1978,tt0078278,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3550,somebody killed her husband,1978,tt0078294,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3551,straight time,1978,tt0078326,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3552,superman,1978,tt0078346,O,O,O,O,O,N,O,N,O,O,O,O,O,N
3553,the swarm,1978,tt0078350,O,O,O,N,O,O,O,O,O,O,O,O,O,O
3554,thank god it's friday,1978,tt0078382,O,O,O,O,O,O,O,O,O,O,O,O,W,O
3555,the toolbox murders ,1978,tt0078405,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3556,uncle joe shannon,1978,tt0078442,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3557,an unmarried woman,1978,tt0078444,O,N,O,O,O,O,O,O,N,O,O,N,O,O
3558,up in smoke,1978,tt0078446,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3559,a wedding,1978,tt0078481,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3560,who'll stop the rain,1978,tt0078490,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3561,the wiz,1978,tt0078504,O,O,N,N,O,O,O,N,O,O,O,O,O,O
3562,youngblood,1978,tt0181907,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3563,zero to sixty,1978,tt0078522,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3564,absolution,1978,tt0081975,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3565,the big sleep,1978,tt0077234,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3566,the boys from brazil,1978,tt0077269,N,O,O,O,O,N,O,N,O,O,O,O,O,O
3567,carry on emmannuelle,1978,tt0077300,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3568,the comeback,1978,tt0077357,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3569,death on the nile,1978,tt0077413,O,O,O,W,O,O,O,O,O,O,O,O,O,O
3570,force 10 from navarone,1978,tt0077572,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3571,give us tomorrow,1978,tt0245920,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3572,killer's moon,1978,tt0077801,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3573,leopard in the snow,1978,tt0077847,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3574,let's get laid,1978,tt0076310,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3575,long shot,1978,tt0077867,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3576,nighthawks,1978,tt0077993,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3577,the odd job,1978,tt0078016,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3578,the playbirds,1978,tt0078092,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3579,power play,1978,tt0078105,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3580,rosie dixon - night nurse,1978,tt0078180,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3581,the sailor's return,1978,tt0078195,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3582,sammy's super t-shirt,1978,tt0078200,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3583,the shout,1978,tt0078259,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3584,stevie,1978,tt0078321,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3585,the stud,1978,tt0078333,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3586,sweeney 2,1978,tt0078351,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3587,terror,1978,tt0141897,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3588,the thirty nine steps,1978,tt0078389,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3589,tomorrow never comes,1978,tt0076832,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3590,the water babies,1978,tt0078477,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3591,watership down,1978,tt0078480,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3592,what's up superdoc!,1978,tt0078484,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3593,the wild geese,1978,tt0078492,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3594,10,1979,tt0078721,O,O,O,O,O,O,O,N,O,O,O,O,N,O
3595,1941,1979,tt0078723,O,O,N,O,O,O,N,O,O,O,O,O,O,N
3596,agatha,1979,tt0078736,O,O,O,N,O,O,O,O,O,O,O,O,O,O
3597,alien,1979,tt0078748,O,O,O,O,O,O,W,O,O,O,O,O,O,O
3598,the alien encounters,1979,tt0078750,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3599,all that jazz,1979,tt0078754,N,O,N,W,N,W,O,W,N,O,O,N,O,O
3600,an almost perfect affair,1979,tt0078757,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3601,americathon,1979,tt0078766,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3602,the amityville horror,1979,tt0078767,O,O,O,O,O,O,O,N,O,O,O,O,O,O
3603,...and justice for all,1979,tt0078718,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3604,angels' brigade,1979,tt0078778,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3605,apocalypse now,1979,tt0078788,O,O,W,O,N,N,O,O,N,N,O,N,O,W
3606,the apple dumpling gang rides again,1979,tt0078790,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3607,ashanti,1979,tt0078801,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3608,avalanche express,1979,tt0078812,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3609,baby snakes,1979,tt0078820,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3610,being there,1979,tt0078841,N,O,O,O,O,O,O,O,O,W,O,O,O,O
3611,the bell jar,1979,tt0078843,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3612,beneath the valley of the ultra-vixens,1979,tt0078846,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3613,best boy,1979,tt0078850,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3614,beyond the poseidon adventure,1979,tt0078856,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3615,the poseidon adventure,1979,tt0078856,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3616,birth of the beatles,1979,tt0078865,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3617,the black hole,1979,tt0078869,O,O,N,O,O,O,N,O,O,O,O,O,O,O
3618,the black stallion,1979,tt0078872,O,O,O,O,O,N,O,O,O,N,O,O,O,O
3619,bloodline,1979,tt0078879,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3620,boardwalk,1979,tt0078886,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3621,breaking away,1979,tt0078902,O,O,O,O,N,O,O,N,N,O,N,W,O,O
3622,the bugs bunny/road runner movie,1979,tt0078915,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3623,butch and sundance the early days,1979,tt0078919,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3624,c.h.o.m.p.s.,1979,tt0078924,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3625,california dreaming,1979,tt0078928,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3626,caligula,1979,tt0080491,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3627,the champ,1979,tt0078950,O,O,O,O,O,O,O,N,O,O,O,O,O,O
3628,chapter two,1979,tt0078952,O,N,O,O,O,O,O,O,O,O,O,O,O,O
3629,the china syndrome,1979,tt0078966,N,N,O,O,O,O,O,O,O,O,O,N,O,O
3630,city on fire,1979,tt0078976,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3631,the concorde ... airport '79,1979,tt0078740,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3632,airport,1979,tt0078740,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3633,cuba,1979,tt0079013,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3634,dracula,1979,tt0079073,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3635,dreamer,1979,tt0079080,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3636,the driller killer,1979,tt0079082,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3637,the electric horseman,1979,tt0079100,O,O,O,O,O,O,O,O,O,O,O,O,O,N
3638,escape from alcatraz,1979,tt0079116,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3639,the europeans,1979,tt0079123,O,O,O,N,O,O,O,O,O,O,O,O,O,O
3640,fast break,1979,tt0079136,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3641,the fish that saved pittsburgh,1979,tt0079154,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3642,a force of one,1979,tt0079168,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3643,french postcards,1979,tt0079176,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3644,the frisco kid,1979,tt0079180,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3645,gal young 'un,1979,tt0079190,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3646,the glove,1979,tt0077614,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3647,going in style,1979,tt0079219,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3648,goldengirl,1979,tt0079225,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3649,the great santini,1979,tt0079239,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3650,hair,1979,tt0079261,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3651,hanover street,1979,tt0079268,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3652,hardcore,1979,tt0079271,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3653,heartland,1979,tt0082508,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3654,hot stuff,1979,tt0079308,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3655,human experiments,1979,tt0080902,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3656,hurricane,1979,tt0079319,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3657,the in-laws,1979,tt0079336,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3658,jaguar lives!,1979,tt0079362,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3659,the jerk,1979,tt0079367,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3660,jesus,1979,tt0079368,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3661,"just you and me, kid",1979,tt0079384,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3662,kramer vs. kramer,1979,tt0079417,W,O,N,O,W,N,O,O,W,N,WN,W,O,O
3663,the lady vanishes,1979,tt0079428,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3664,last embrace,1979,tt0079437,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3665,a little romance,1979,tt0079477,O,O,O,O,O,O,O,W,O,O,O,N,O,O
