imdbID,title,year,n_votes,imdb_rating,metscore,rotten_tomatoes,budget,box_office,cast_size,genre_span,running_time,other_wins,other_noms
tt0054058,man on a string,1960,267.0,6.1,,,,,4,4,92 min,0,0
tt0054082,mice follies,1960,64.0,7.0,,,,,1,3,6 min,0,0
tt0054084,midnight lace,1960,4228.0,6.8,,10.0,,,4,3,103 min,0,4.0
tt0054095,the mountain road,1960,669.0,6.3,,,,,4,2,102 min,0,0
tt0054102,"murder, inc.",1960,1089.0,6.6,,,,,4,4,103 min,0,1.0
tt0054103,the music box kid,1960,72.0,4.9,,,,,4,2,75 min,0,0
tt0054198,never on sunday,1960,4782.0,7.3,,7.8,,,4,3,97 min,2.0,8.0
tt0054126,noose for a gunman,1960,141.0,5.5,,,,,4,1,69 min,0,0
tt0054127,north to alaska,1960,6539.0,7.0,,5.0,,,4,3,122 min,1.0,1.0
tt0054135,ocean's 11,1960,18543.0,6.6,5.7,5.0,,,4,4,127 min,0,2.0
tt0054138,oklahoma territory,1960,127.0,5.9,,,,,4,1,67 min,0,0
tt0054141,"once more, with feeling!",1960,374.0,6.3,,,,,4,3,92 min,0,0
tt0054142,one foot in hell,1960,387.0,6.2,,,,,4,1,90 min,0,0
tt0054164,pay or die,1960,375.0,6.9,,,,,4,2,111 min,0,2.0
tt0054172,pepe,1960,764.0,5.5,,,,,4,2,180 min,2.0,5.0
tt0054187,platinum high school,1960,62.0,5.7,,,,,4,1,95 min,0,0
tt0054188,please don't eat the daisies,1960,3746.0,6.5,,5.7,,,4,3,112 min,0,5.0
tt0054190,the plunderers,1960,200.0,6.6,,,,,4,1,94 min,0,0
tt0054195,pollyanna,1960,8373.0,7.4,,8.6,,,4,3,134 min,1.0,1.0
tt0054197,portrait in black,1960,868.0,6.7,,,,,4,3,112 min,0,0
tt0054204,pretty boy floyd,1960,97.0,5.6,,,,,4,3,96 min,0,0
tt0055328,the private lives of adam and eve,1960,77.0,4.7,,,,,4,1,86 min,0,0
tt0054209,private property,1960,548.0,6.8,8.0,10.0,,,4,2,79 min,0,0
tt0054215,psycho,1960,559212.0,8.5,9.7,9.6,,,4,3,109 min,5.0,10.0
tt0054219,the pusher,1960,48.0,6.6,,,,,4,2,81 min,0,0
tt0054230,the rat race,1960,967.0,6.7,,,,,4,3,105 min,0,0
tt0054232,raymie,1960,21.0,7.1,,,,,4,1,72 min,0,0
tt0054243,the rise and fall of legs diamond,1960,819.0,6.8,,7.1,,,4,2,101 min,0,0
tt0053244,the savage innocents,1960,1572.0,6.9,,7.5,,,4,3,110 min,1.0,1.0
tt0054271,scent of mystery,1960,189.0,5.7,,,,,4,1,125 min,0,0
tt0054283,the secret of the purple reef,1960,94.0,4.9,,,,,4,2,81 min,0,0
tt0054290,september storm,1960,121.0,5.0,,,,,4,1,99 min,0,0
tt0054292,sergeant rutledge,1960,3622.0,7.4,,8.8,,,4,2,111 min,0,0
tt0054295,seven thieves,1960,1073.0,6.6,,,,,4,2,102 min,0,0
tt0054296,seven ways from sundown,1960,704.0,7.0,,,,,4,4,87 min,0,0
tt0054298,sex kittens go to college,1960,346.0,3.4,,,,,4,1,94 min,0,0
tt0054324,song without end,1960,556.0,5.9,,8.3,,,4,3,141 min,1.0,3.0
tt0054331,spartacus,1960,116230.0,7.9,8.7,9.5,,,4,5,197 min,7.0,11.0
tt0055472,squad car,1960,15.0,3.9,,,,,4,2,62 min,0,0
tt0054343,the story of ruth,1960,919.0,6.7,,,,,4,3,132 min,0,0
tt0054345,strangers when we meet,1960,1728.0,7.1,,6.0,,,4,2,117 min,0,0
tt0054348,studs lonigan,1960,216.0,5.3,,6.0,,,4,1,95 min,0,0
tt0054351,the subterraneans,1960,226.0,5.2,,,,,4,1,89 min,0,0
tt0054353,the sundowners,1960,3533.0,7.1,8.2,8.2,,,4,2,133 min,4.0,8.0
tt0054354,sunrise at campobello,1960,968.0,7.0,,8.8,,,4,2,144 min,3.0,3.0
tt0054355,surprise package,1960,224.0,5.8,,,,,4,1,100 min,0,0
tt0054357,swiss family robinson,1960,12870.0,7.2,6.1,8.2,,,4,2,126 min,0,0
tt0054367,tall story,1960,635.0,6.0,,,,,4,2,91 min,0,0
tt0054368,tarzan the magnificent,1960,571.0,6.7,,,,,4,2,82 min,0,0
tt0054376,tess of the storm country,1960,16.0,5.5,,,,,4,1,84 min,0,0
tt0054381,this rebel breed,1960,71.0,6.2,,,,,4,1,90 min,0,0
tt0054383,the threat,1960,13.0,4.3,,,,,4,2,66 min,0,0
tt0054385,thunder in carolina,1960,284.0,2.6,,,,,4,3,92 min,0,0
tt0054387,the time machine,1960,33963.0,7.6,6.7,7.5,,,4,4,103 min,0,1.0
tt0053357,three came to kill,1960,49.0,5.6,,,,,4,2,71 min,0,0
